Item ID	 UOM	 Item Name	
100P0156		P.T. MTG. ANGLE
100P0157		P.T. PLATE MTG. ANGLE
100P0158		P.T. MTG. PLATE
100P0159		BRIGHT FLAT
100P0160		RIB - 2
100P0161		RIB - 1
100P0162		BASE PLATE
100P0163		ANVIL 140 MM
100P0164		VERTICAL RIB
100P0165		SUPPORT PLATE
100P0166		BOTTOM BACKLITE 140 MM ANVIL
100P0167		SPACER BAKELITE
100P0168		FRONT BAKELITE-BOTTOM
100P0169		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0181		20-30 KVA 300-350 C FRAME HAWKINS
100P0182		CYL. MTG. PLATE
100P0183		PROFILE PLATE - RHS
100P0184		PROFILE PLATE - LHS
100P0185		FRONT PLATE
100P0186		SLIDE MTG. PLATE
100P0187		MS ANGLE
100P0188		P.T. MTG. ANGLE
100P0189		P.T. PLATE MTG. ANGLE
100P0190		P.T. MTG. PLATE
100P0191		BRIGHT FLAT
100P0192		RIB - 2
100P0193		RIB - 1
100P0194		BASE PLATE
100P0195		ANVIL 140 MM
100P0196		VERTICAL RIB
100P0197		SUPPORT PLATE
100P0198		BOTTOM BACKLITE 140 MM ANVIL
100P0199		SPACER BAKELITE
100P0200		FRONT BAKELITE-BOTTOM
100P0201		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0204		20-30 KVA 300-350 C FRAME HAWKINS
100P0205		CYL. MTG. PLATE
100P0206		PROFILE PLATE - RHS
100P0207		PROFILE PLATE - LHS
100P0208		FRONT PLATE
100P0209		SLIDE MTG. PLATE
100P0210		MS ANGLE
100P0211		P.T. MTG. ANGLE
100P0212		P.T. PLATE MTG. ANGLE
100P0213		P.T. MTG. PLATE
100P0214		BRIGHT FLAT
100P0215		RIB - 2
100P0216		RIB - 1
100P0217		BASE PLATE
100P0218		ANVIL 140 MM
100P0219		VERTICAL RIB
100P0220		SUPPORT PLATE
100P0221		BOTTOM BACKLITE 140 MM ANVIL
100P0222		SPACER BAKELITE
100P0223		FRONT BAKELITE-BOTTOM
100P0224		FRONT BAKELITE-TOP
100P0225		CYL DIA. 32 X 30
100P0226		CYL DIA. 100 X 50
100P0227		EYE ROD
100P0228		MOUNTING KIT MD 1032
100P0229		CONNECTOR AR 016
100P0230		CONNECTOR AR 010
100P0231		FLOW CONTROL VALVE
100P0232		DIRECTION CONTROL VALVE
100P0233		PUSH IN FITTING
100P0234		REGULATOR
100P0235		T CONNECTOR
100P0236		FLOW CONTROL VALVE
100P0237		DIRECTION CONTROL VALVE
100P0238		ELBOW
100P0239		REGULATOR
100P0240		FILTER
100P0241		PRESSURE GUAGE
100P0242		REGULATOR MTG BKT
100P0243		SILENCER
100P0244		SILENCER
100P0245		READSWITCHES FOR 100
100P0246		T 08-08-2008
100P0247		LUBRICATOR
